timestamp,current_cpu,avg_cpu,trend,action,reason,desired_count_before,desired_count_after
2026-07-27T12:13:55.193748+00:00,0.72,0.76,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 84sn",1,1
2026-07-27T12:14:26.860225+00:00,0.62,0.69,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 52sn",1,1
2026-07-27T12:14:58.558441+00:00,0.61,0.65,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 20sn",1,1
2026-07-27T12:15:30.933610+00:00,0.58,0.6,FALLING,SCALE_DOWN,Ortalama CPU (0.6) esik degerinin (20) altinda ve yukselme trendi yok,1,1
2026-07-27T12:16:02.698658+00:00,0.58,0.59,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 148sn",1,1
2026-07-27T12:16:34.482831+00:00,0.58,0.58,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 116sn",1,1
2026-07-27T12:17:06.239703+00:00,0.58,0.58,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 84sn",1,1
2026-07-27T12:17:37.896980+00:00,0.58,0.58,FALLING,NO_CHANGE,"Cooldown aktif, kalan sure: 52sn",1,1
2026-07-29T13:49:40.078055+00:00,0.6,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-29T13:50:12.025054+00:00,0.6,,,NO_CHANGE,Yeterli veri birikmedi (isinma periyodu),1,1
2026-07-29T13:50:44.812437+00:00,1.09,0.76,INSUFFICIENT_DATA,SCALE_DOWN,Ortalama CPU (0.8) esik degerinin (20) altinda ve yukselme trendi yok,1,1
2026-07-29T13:51:16.627204+00:00,1.21,0.96,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 147sn",1,1
2026-07-29T13:51:48.080750+00:00,1.58,1.29,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 116sn",1,1
2026-07-29T13:52:19.493926+00:00,1.82,1.54,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 84sn",1,1
2026-07-29T13:52:50.963978+00:00,2.06,1.82,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 53sn",1,1
2026-07-29T13:53:22.363875+00:00,2.43,2.1,RISING,NO_CHANGE,"Cooldown aktif, kalan sure: 22sn",1,1
2026-07-29T13:53:54.808750+00:00,12.26,5.58,RISING,NO_CHANGE,Ortalama CPU (5.6) normal aralikta,1,1
2026-07-29T13:54:26.390120+00:00,15.18,9.96,RISING,NO_CHANGE,Ortalama CPU (10.0) normal aralikta,1,1
2026-07-29T13:54:58.139109+00:00,21.04,16.16,RISING,NO_CHANGE,Ortalama CPU (16.2) normal aralikta,1,1
2026-07-29T13:55:29.759466+00:00,25.54,20.59,RISING,NO_CHANGE,Ortalama CPU (20.6) normal aralikta,1,1
